input,finetuned_translation,human score
"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?","Io gli ap me lo sai bene, e ne ed ho sempre la parola di confor. E, che cosa vuoi,puoi intendere? E, che cosa devi aver paura di Lui? E, che cosa vuoi? E, che cos’è il tuo animo diabol? E, che cos'è il tuo animo diabol? E, che cosa vuoi? E, che cosa devi aver paura di Lui ? E, che",1
"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","E da qui, da cui sonoali, devi purereresti, o Catellina, e tu non puoi neanchederesti dubiti come sai bene, dubiti che, dubiti, tu hai, devi pure andar [Dovrai dire] da dove ti sei fermato, dubiti che, dubiti tu, onorandoti, non devierei [da soloquesto [Dio], da qui,duca tua buona fede, dubiti tu [, dubiti tu], che non devi [Dovrei [DDDD",2
"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","Ques Due, volendo contro la volontà del senato, fu causa due della pauramento del senato, i padri cossisiani non subirono alcun torto, se non il suffragiuno dei padri coscati. In punto di morte, concittadini erano condannati al prua, i padri cossidiani non subirono il disprezzo del senno, i padri cossisiani non subirono unil torto,nendo la",1
"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette","i contradisti in questione andrebbero a farsi giudicare dalle pergamene che sono state redente; i giovanetti, adirati, potrebbero giudicare da quelle provincie che ebbero la loro pena finale e la loro severa punizione. i contradisti in questione andrebbero a farsi giudicare dalle pergamene che sono state redenti; i giovanetti, adirati,potrebbe giudicare da quelle provincie",1
"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","da che si feci contro i quali si feci due nemici; contro i quali è conbactutoum secondeiraio: perké, in ambedue i Manieriani si feci contro i quali si feci con la pena d'invidi due nemici. da che si feci contro i dueMagnificianiani,idi due fiumaniani: ambedue i Manieriani si fingendo dei Manierianiani,idi due in ambedue i manieriani: a causa",2
"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","uomini alieni dalla nuvola di cole,umore a cui piace a me e agli altri. nuances di umore e dieternità.it.uomini alieni dalla nuvola di cole,umore a me e all’umore con cui mi trovo in questa nuvola umile e generosa di umore e dieternità.it.uomini alieni dala nuvola um",1
pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,"pregate a me, andate a vostro aiuto!
 vi prego di aiutarmi con le vostre preghiere.
Translation: 1. a me:.
 I am a.I. of:
. 
                           .   .           .  .",2
"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","una villa chiamata Vit. Vit. Con ciò si compiava la loro virtù, che in un tempo fui come datav fors, stimando che venisse da qui, aristocit, a totermin,, a totermin, a,
, che andenessia, a,escapingvit,, in un tempo,idi,, a me, a.,, a,escape, a,,, ,, a,,,,,,,,,,,,,,,,,,,,,,,,,",1
contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,contro di lui e contro le sue sorelle  e contro i suoi difetti e contro le sue sorelle  e contro i suoi difetti e contro le sue sorelle  e contro il suo valore [ e contro i suoi difetti e contro le sue sorelle [ [che ha] contro di lui e contro le sue sorelle [ [che ha] contro di lui e contro le sue sorelle [ [ [ [ [ a me] e contro i suoi difetti [ [ e contro di lui]. [ [ [ [,1
"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","All Allora che lo scontro naviglio si fu spezzato e messo in alto mare per andare [Dio con la nave da cui fui rivierasco, l'aira divenuta velenosa epoetessa.it, divenuto impetuoso del mare e salendo [con me] nel mar Rosso [del ponte [del purgatorio].it, che con la nave da cui fui rivierasco, per [la mia nave], fui un tempo,inchiodata.it, che trad",1
"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","in su, sul fosso, se il salmo supestano i denti oppure su un gradino alligato al fosso, se non si potevano difendere o a qualcuno di contrario, o se su, su o su, su o su, se il salmo supestano i denti oppure suor su o su o su o su o su, se su un gradino alligato al fosso, se non si potevano difendere o a qualcuno di contrario, o se",1
"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista",L'occhio della superbia è più grande dell'intelligenza. L'occhio del cielo stellato è più alto. E' l'intelletto più grande di quanto non sia vero. E' l'intelletto più grande a guardare il cielo superiore. E' l'intelligenza più grande. E' l'intelletto più grande di quanto non sia vero. E' l'intelletto più grande di quanto non sia vero. E' l'intelletto più grande di quanto non sia vero.,1
"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","E diviene che l'occhio sia di un'anima buona e che poi lor corpi ne è cinsi, come fa il [verme] nell'albano, come fa l'occhio da bar. Etrusive, se l'empìre, che l'occhio ha di un'anima buona e che poi lo fa anche la testa [bar [bar]. Etrusive all'empire [bar]. Etrusive all'empire [bar [bar] dell'empìre, come fa l'emp",1
"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.",Transltrans Translation: Trans Translation Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans,1
"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.",. Uleco. Uleco. Uleese. Ule. Ule. Ule. Ule. Ule. Ule. Ule. Ule. E. Ule. Ule. Ule. Ule. Ule. Ule. Ule. Ule. Ule. Ule. Ule. Ule. Ule. U,1
"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","per perché la mia ignoranza è tanto spregevole da capire che, se non viene detto nullo, il mio intelletto è tanto molesto da comprendere che, se non è più gradito parlare, il mio intelletto non è più gradito da negligenza da capire, tanto che, se non viene detto il vero , non viene detto nullo., il mio intelletto è tanto molesto da comprendere che, se non è più grad",1
"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","A Alex, is a genovese, is a genovese, genovese, and genovese, are genovese, are genovese,ome, Gen trans genovese, genovese, genovese, genovese, genovese, is a genovese, genovese is genovese, genovese, genovese, gen genovese, genoveseine, genovese, genovese genovese is genov",1
"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Alchequerade is a type ofate, type ofate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ateate,ate,ate,",1
"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pi Pietro, esaminante,",1
"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","pregolo che lo liberasse,in cui eraablyev libertydait aedui in,inviando ubbernet che l'aveva lasciato Uemplicitamente ubbernet che lo liberava. Trans. trans.Trans.Trans.Trans.Trans.Trans.Trans.Trans.Trans.Trans.Trans.Trans.Trans.Trans.Trans.Trans.Trans.Trans.Trans.Trans.Trans.TransTransTransTransTransTransTransTrans.TransTransTrans",1
"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro verrà da Aquilone dal freddo del peccato di averi ineguale. Chefiguriamo. L'oro sarà [O acquieta [da tutti i nostri peccati]. aquilame="" [Oceanre""
Translation [ ofange [L'oro] che inanguPreparete [da qui: aquilame="" [amor] che tenne [Nat all'Aquilone]. Chefiguriamo [: [:qu]chemo [: [:];
 [",1
"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","non ti ha ancora quassù, non deviere da qui: non ti ha ancora quassù, non ti ha ancora quassù, non ti prego di più, che io non lo spezzi a tal punto che non ti ha ancora quassù, non ti ha ancora quassù, non ti ha ancora quassù, non ti ha ancora quassù, non ti prego di averli come compagni. non ti prego di",1
