response,reference_answer,score
"Io gli ap me lo sai bene, e ne ed ho sempre la parola di confor. E, che cosa vuoi,puoi intendere? E, che cosa devi aver paura di Lui? E, che cosa vuoi? E, che cos’è il tuo animo diabol? E, che cos'è il tuo animo diabol? E, che cosa vuoi? E, che cosa devi aver paura di Lui ? E, che","Io li aprii, e quelli fuggirono. E perché mai il tuo cuore dovrebbe restare chiuso al tuo sposo, Cristo?",1
"E da qui, da cui sonoali, devi purereresti, o Catellina, e tu non puoi neanchederesti dubiti come sai bene, dubiti che, dubiti, tu hai, devi pure andar [Dovrai dire] da dove ti sei fermato, dubiti che, dubiti tu, onorandoti, non devierei [da soloquesto [Dio], da qui,duca tua buona fede, dubiti tu [, dubiti tu], che non devi [Dovrei [DDDD","Allora, dato che le cose stanno così, Catilina, e che non puoi più restare qui senza disonore, perché esiti ad andartene in qualche paese lontano e a continuare questa tua vita errante nei deserti?",1
"Ques Due, volendo contro la volontà del senato, fu causa due della pauramento del senato, i padri cossisiani non subirono alcun torto, se non il suffragiuno dei padri coscati. In punto di morte, concittadini erano condannati al prua, i padri cossidiani non subirono il disprezzo del senno, i padri cossisiani non subirono unil torto,nendo la","Questi due uomini, che volevano restare nell’ufficio di tribuni nonostante l’opposizione del senato, furono messi a morte dalla plebe, istigata dai senatori.",2
"i contradisti in questione andrebbero a farsi giudicare dalle pergamene che sono state redente; i giovanetti, adirati, potrebbero giudicare da quelle provincie che ebbero la loro pena finale e la loro severa punizione. i contradisti in questione andrebbero a farsi giudicare dalle pergamene che sono state redenti; i giovanetti, adirati,potrebbe giudicare da quelle provincie","I giovani, ai quali è affidata la difesa delle province e la sorte dell'intera battaglia.",1
"da che si feci contro i quali si feci due nemici; contro i quali è conbactutoum secondeiraio: perké, in ambedue i Manieriani si feci contro i quali si feci con la pena d'invidi due nemici. da che si feci contro i dueMagnificianiani,idi due fiumaniani: ambedue i Manieriani si fingendo dei Manierianiani,idi due in ambedue i manieriani: a causa","Dai monti dei Romani sorsero nuovi nemici, contro i quali si combatté con esiti alterni: infatti, nella prima battaglia, quando Valerio era console, morirono tremilacinquecento Romani.",1
"uomini alieni dalla nuvola di cole,umore a cui piace a me e agli altri. nuances di umore e dieternità.it.uomini alieni dalla nuvola di cole,umore a me e all’umore con cui mi trovo in questa nuvola umile e generosa di umore e dieternità.it.uomini alieni dala nuvola um","Siamo stati esiliati e costretti a partire per dovere verso la città, perdendo anche la nostra reputazione e ogni favore della sorte.",1
"pregate a me, andate a vostro aiuto!
 vi prego di aiutarmi con le vostre preghiere.
Translation: 1. a me:.
 I am a.I. of:
. 
                           .   .           .  .","Avete pregato gli dèi per me, e le vostre preghiere hanno avuto effetto. E se vi domandate chi sia stato il vincitore di questa battaglia, vi dico che non sono stato sconfitto da lui.",1
"una villa chiamata Vit. Vit. Con ciò si compiava la loro virtù, che in un tempo fui come datav fors, stimando che venisse da qui, aristocit, a totermin,, a totermin, a,
, che andenessia, a,escapingvit,, in un tempo,idi,, a me, a.,, a,escape, a,,, ,, a,,,,,,,,,,,,,,,,,,,,,,,,,","In una villa chiamata Vitermina, dove per caso diversi capi di briganti si erano radunati per vederlo, Scipione, pensando che fossero lì per assalirlo, si rinchiuse nella casa.",1
contro di lui e contro le sue sorelle  e contro i suoi difetti e contro le sue sorelle  e contro i suoi difetti e contro le sue sorelle  e contro il suo valore [ e contro i suoi difetti e contro le sue sorelle [ [che ha] contro di lui e contro le sue sorelle [ [che ha] contro di lui e contro le sue sorelle [ [ [ [ [ a me] e contro i suoi difetti [ [ e contro di lui]. [ [ [ [,"Contro di lui, le sue sorelle, il suo regno e il prestigio della sua nobile discendenza e famiglia.",1
"All Allora che lo scontro naviglio si fu spezzato e messo in alto mare per andare [Dio con la nave da cui fui rivierasco, l'aira divenuta velenosa epoetessa.it, divenuto impetuoso del mare e salendo [con me] nel mar Rosso [del ponte [del purgatorio].it, che con la nave da cui fui rivierasco, per [la mia nave], fui un tempo,inchiodata.it, che trad","Nel momento in cui la nave si spinse al largo per attraversare quel tratto di mare pericoloso, il cielo si coprì di nuvole e cominciò a cadere una leggera pioggia.",1
"in su, sul fosso, se il salmo supestano i denti oppure su un gradino alligato al fosso, se non si potevano difendere o a qualcuno di contrario, o se su, su o su, su o su, se il salmo supestano i denti oppure suor su o su o su o su o su, se su un gradino alligato al fosso, se non si potevano difendere o a qualcuno di contrario, o se","Salirono sull’argine del fossato e sulla palizzata, sperando di potersi difendere meglio dall’alto o di trovare un modo per oltrepassare e mettersi in salvo.",1
L'occhio della superbia è più grande dell'intelligenza. L'occhio del cielo stellato è più alto. E' l'intelletto più grande di quanto non sia vero. E' l'intelletto più grande a guardare il cielo superiore. E' l'intelligenza più grande. E' l'intelletto più grande di quanto non sia vero. E' l'intelletto più grande di quanto non sia vero. E' l'intelletto più grande di quanto non sia vero.,"Tuttavia, la mente vede più in alto, perché, una volta superata la visione dell’intero universo, essa contempla con acume quella stessa forma essenziale nella sua purezza.",1
"E diviene che l'occhio sia di un'anima buona e che poi lor corpi ne è cinsi, come fa il [verme] nell'albano, come fa l'occhio da bar. Etrusive, se l'empìre, che l'occhio ha di un'anima buona e che poi lo fa anche la testa [bar [bar]. Etrusive all'empire [bar]. Etrusive all'empire [bar [bar] dell'empìre, come fa l'emp","E se l’occhio è una parte nobile del corpo umano, allora anche il saluto è una parte nobile dell’epistola, poiché illumina l’intera lettera così come l’occhio illumina l’uomo.",1
Transltrans Translation: Trans Translation Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans Trans,"I Tarantini, discendenti dei Lacedemoni, e fondatori di una nobile città della Grecia.",1
. Uleco. Uleco. Uleese. Ule. Ule. Ule. Ule. Ule. Ule. Ule. Ule. E. Ule. Ule. Ule. Ule. Ule. Ule. Ule. Ule. Ule. Ule. Ule. Ule. Ule. U,"Presso gli Ulecoi viveva un uomo ricco e di nobile stirpe, chiamato Orgentore.",1
"per perché la mia ignoranza è tanto spregevole da capire che, se non viene detto nullo, il mio intelletto è tanto molesto da comprendere che, se non è più gradito parlare, il mio intelletto non è più gradito da negligenza da capire, tanto che, se non viene detto il vero , non viene detto nullo., il mio intelletto è tanto molesto da comprendere che, se non è più grad","Infatti, se è un atto nobile e glorioso abbattere il nemico, è altrettanto lodevole saper avere misericordia una volta vinto.",1
"A Alex, is a genovese, is a genovese, genovese, and genovese, are genovese, are genovese,ome, Gen trans genovese, genovese, genovese, genovese, genovese, is a genovese, genovese is genovese, genovese, genovese, gen genovese, genoveseine, genovese, genovese genovese is genov","Alessandro, cioè il genero e figlio (adottivo), avuto da Fausonia, una nobile giovane della Macedonia, fu ucciso mentre si trovava in un luogo stretto e privo di protezione.",1
"Alchequerade is a type ofate, type ofate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ate,ateate,ate,ate,","Alcuni, pur essendo ricchi e di nobile condizione, si lamentano perché desiderano una moglie diversa da quella che hanno.",1
"Pi Pietro, esaminante,","A Pietro, quando gli fu mostrato in visione il popolo dei Gentili, fu detto: 'Uccidi e mangia'.",1
"pregolo che lo liberasse,in cui eraablyev libertydait aedui in,inviando ubbernet che l'aveva lasciato Uemplicitamente ubbernet che lo liberava. Trans. trans.Trans.Trans.Trans.Trans.Trans.Trans.Trans.Trans.Trans.Trans.Trans.Trans.Trans.Trans.Trans.Trans.Trans.Trans.Trans.Trans.TransTransTransTransTransTransTransTrans.TransTransTrans","Gli chiese di liberarlo da quell’obbligo nel quale lo aveva lasciato vincolato. Il gentiluomo acconsentì, lo liberò e ne redasse un documento scritto.",1
"L'oro verrà da Aquilone dal freddo del peccato di averi ineguale. Chefiguriamo. L'oro sarà [O acquieta [da tutti i nostri peccati]. aquilame="" [Oceanre""
Translation [ ofange [L'oro] che inanguPreparete [da qui: aquilame="" [amor] che tenne [Nat all'Aquilone]. Chefiguriamo [: [:qu]chemo [: [:];
 [","L’oro verrà dal Settentrione. E cosa rappresentiamo noi con il Settentrione, se non il popolo dei Gentili, irrigidito dal gelo del peccato, che fu tenuto sotto il giogo della sua tirannia?",1
"non ti ha ancora quassù, non deviere da qui: non ti ha ancora quassù, non ti ha ancora quassù, non ti prego di più, che io non lo spezzi a tal punto che non ti ha ancora quassù, non ti ha ancora quassù, non ti ha ancora quassù, non ti ha ancora quassù, non ti prego di averli come compagni. non ti prego di","Che ci sia una divisione tra me e te: non puoi più vivere con noi, perché io non lo accetterò né lo consentirò.",1
